,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price
138,2014-07-07,2,1190,4440,1.0,0,0,3,0,1981,0,98125,47.7135,-122.287,382500
139,2014-05-07,3,1170,1249,3.0,0,0,3,0,2014,0,98107,47.6722,-122.381,519950
140,2014-06-27,2,1110,3200,1.0,0,0,3,0,1925,0,98119,47.6338,-122.358,665000
141,2014-07-08,5,2820,9375,1.0,0,0,4,1270,1968,0,98006,47.5707,-122.128,527700
142,2015-05-08,3,1610,8579,1.0,0,0,4,600,1962,0,98058,47.4563,-122.171,205000
143,2015-04-15,3,1060,8097,1.0,0,0,4,120,1923,0,98133,47.7144,-122.351,420000
144,2015-02-27,4,2030,8517,1.0,0,0,4,650,1961,0,98006,47.5495,-122.174,500000
145,2014-12-03,4,3670,315374,2.0,0,0,4,0,1994,0,98077,47.7421,-122.026,921500
146,2014-06-25,4,2550,4000,2.0,0,0,3,180,1905,0,98109,47.6354,-122.353,890000
147,2014-08-06,2,2420,60984,2.0,0,0,3,0,2007,0,98027,47.5262,-121.943,430000
148,2014-10-30,5,2260,12500,1.0,0,0,4,1130,1960,0,98032,47.3887,-122.286,258000
149,2014-11-04,3,1430,3455,1.0,0,0,3,450,1947,0,98103,47.6873,-122.336,511000
150,2014-08-20,3,1360,3090,2.0,0,0,3,0,1990,0,98103,47.6838,-122.353,532170
151,2015-04-09,3,1110,5000,1.5,0,0,3,0,1947,0,98107,47.655,-122.359,560000
152,2015-03-31,3,1250,8200,1.0,0,0,4,0,1954,0,98003,47.3255,-122.304,282950
153,2015-04-01,4,5180,19850,2.0,0,3,3,1640,2006,0,98006,47.562,-122.162,2250000
154,2014-05-16,1,700,5100,1.0,0,0,3,0,1942,0,98115,47.679,-122.3,350000
155,2014-07-28,3,1180,7669,1.0,0,0,4,0,1967,0,98058,47.4479,-122.176,215000
156,2014-11-20,5,3960,25245,2.0,0,0,3,1460,1996,0,98056,47.525,-122.172,650000
157,2014-08-07,4,2640,7500,1.0,0,0,3,1020,1967,0,98023,47.3135,-122.369,320000
158,2014-11-13,3,1270,7198,1.5,0,0,3,0,1916,2013,98022,47.2086,-121.996,247000
159,2014-10-03,4,1760,11180,1.0,0,0,4,0,1968,0,98059,47.4715,-122.118,320000
160,2014-05-07,5,2060,8632,1.0,0,0,3,1030,1962,0,98146,47.4877,-122.335,255000
161,2015-03-09,3,1780,9660,1.0,0,0,3,0,1962,0,98034,47.7171,-122.193,438000
162,2015-03-04,3,3400,16603,2.0,0,0,3,0,2000,0,98075,47.6012,-122.023,900000
163,2014-06-20,3,1910,7280,1.0,0,0,3,750,1979,0,98034,47.7319,-122.224,441000
164,2014-08-12,3,2020,38332,1.0,0,0,4,1010,1975,0,98027,47.4582,-122.023,420000
165,2014-12-08,3,1580,7000,1.0,0,0,3,400,1976,0,98034,47.7209,-122.168,370000
166,2015-02-19,2,1340,7250,1.0,0,0,5,640,1949,0,98198,47.408,-122.327,269950
167,2015-03-24,4,2680,4499,2.0,0,0,3,0,1999,0,98006,47.565,-122.125,807100
168,2014-06-05,3,2680,9750,1.0,0,0,4,1070,1979,0,98034,47.7028,-122.231,653000
169,2014-06-11,3,1370,8336,1.0,0,0,5,0,1964,0,98133,47.7458,-122.331,371500
170,2015-03-16,3,1560,21000,1.0,0,0,3,0,1954,0,98166,47.4776,-122.337,284000
171,2015-01-02,3,2160,7140,1.0,0,0,4,490,1978,0,98023,47.3026,-122.374,272000
172,2014-05-02,3,1340,7912,1.5,0,0,3,0,1955,0,98133,47.7658,-122.339,313000
173,2015-01-16,4,3880,35003,2.0,0,0,3,1310,1984,0,98033,47.6477,-122.182,917500
174,2014-09-29,4,2590,8190,2.0,0,0,4,0,1980,0,98006,47.5619,-122.125,673000
175,2015-02-10,3,1120,1100,2.0,0,0,3,300,2008,0,98122,47.6106,-122.31,425000
176,2014-07-09,5,1970,5400,1.0,0,0,3,650,1986,0,98144,47.5868,-122.308,399950
177,2014-05-30,3,1220,4800,1.0,0,0,3,0,1901,0,98122,47.6101,-122.307,385000
178,2014-11-17,3,1950,7560,1.0,0,2,4,630,1975,0,98022,47.1976,-121.999,269950
179,2015-01-07,2,1350,8220,1.0,0,0,3,290,1949,0,98177,47.7224,-122.358,330000
180,2014-07-25,3,1670,5797,2.0,0,0,3,0,1988,0,98030,47.3505,-122.179,260000
181,2015-04-14,4,2380,5125,1.5,0,0,4,700,1925,0,98126,47.5384,-122.376,470000
182,2014-06-13,4,2440,9600,2.0,0,0,5,0,1961,0,98034,47.7044,-122.2,589000
183,2014-07-23,2,1050,3419,2.0,0,0,3,0,1996,0,98038,47.3848,-122.039,163500
184,2014-09-05,4,3130,13412,2.0,0,0,3,990,1993,0,98052,47.6993,-122.102,835000
185,2014-11-21,5,4090,12850,1.0,0,2,4,2000,1986,0,98033,47.6627,-122.188,1100000
186,2015-04-15,4,1490,10000,1.0,0,0,4,390,1969,0,98023,47.3099,-122.379,269000
187,2014-05-05,3,1900,8744,2.0,0,0,3,0,1987,0,98074,47.62,-122.043,560000
188,2015-04-18,4,1330,2400,1.5,0,0,4,0,1901,0,98103,47.65,-122.34,615000
189,2014-12-05,3,2230,10026,1.0,0,0,3,800,1975,0,98052,47.6647,-122.153,585188
190,2014-08-18,3,1650,9480,1.0,0,0,3,430,1977,0,98034,47.726,-122.191,305000
191,2014-11-05,3,1190,8820,1.0,0,0,3,0,1959,0,98058,47.4616,-122.184,166950
192,2014-09-12,3,2140,9897,1.0,0,0,4,0,1959,0,98040,47.5505,-122.219,799000
193,2014-06-25,3,2180,7508,1.0,0,0,4,760,1962,0,98133,47.7606,-122.336,400000
194,2014-12-01,3,1060,10228,1.0,0,0,3,0,1948,0,98155,47.7481,-122.3,230000
195,2014-05-15,3,1690,5025,2.0,0,0,3,0,2003,0,98023,47.2779,-122.347,256883
196,2014-11-11,4,1970,6480,1.5,0,0,5,840,1920,0,98108,47.5511,-122.312,423000
197,2014-07-23,3,2150,4084,2.0,0,0,3,0,2007,0,98126,47.5488,-122.372,465000
198,2015-01-13,3,1910,66211,2.0,0,0,3,0,1997,0,98024,47.5385,-121.911,440000
199,2014-10-14,3,1350,155073,1.0,0,0,4,0,1969,0,98038,47.4058,-121.994,385000
200,2015-03-11,3,860,11725,1.0,0,0,4,0,1943,0,98056,47.5093,-122.184,210000
201,2014-11-12,3,1940,14952,2.0,0,0,3,0,1994,0,98042,47.3777,-122.165,297000
202,2014-07-16,3,1010,5000,1.0,0,0,3,0,1952,0,98107,47.675,-122.394,470000
203,2014-08-04,3,1300,7370,1.0,0,0,4,400,1976,0,98023,47.3025,-122.37,226500
204,2015-03-03,3,910,8450,1.0,0,0,4,0,1962,0,98059,47.4787,-122.158,274250
205,2014-08-04,4,2480,11010,1.0,0,0,4,850,1966,0,98040,47.5378,-122.219,840000
206,2014-09-19,3,2440,4587,2.0,0,0,3,0,2010,0,98052,47.7073,-122.114,677900
207,2015-02-05,3,1010,5864,1.0,0,0,3,0,1915,0,98116,47.5733,-122.381,425000
208,2014-11-23,2,900,9600,1.0,0,0,3,0,1941,0,98166,47.4604,-122.339,180250
209,2014-07-17,6,2300,3404,2.0,0,0,3,700,1920,1994,98133,47.7067,-122.343,464000
210,2015-04-22,4,1550,7579,2.0,0,0,3,0,1993,0,98038,47.354,-122.047,320000
211,2014-07-17,3,1270,1566,2.0,0,0,3,210,2014,0,98105,47.6647,-122.284,625504
212,2014-05-15,4,2240,12032,1.0,0,0,3,0,1983,0,98074,47.6143,-122.017,592500
213,2015-01-14,3,2714,17936,2.0,0,0,3,0,2005,0,98001,47.3185,-122.275,465000
214,2014-05-27,4,1720,6270,2.0,0,0,3,0,1978,0,98118,47.5458,-122.268,477000
215,2015-01-15,2,850,16400,1.0,0,0,3,0,1923,0,98168,47.4889,-122.299,280000
216,2015-02-21,5,3300,33474,1.0,0,3,3,1430,1957,1991,98040,47.5673,-122.21,1510000
217,2014-07-03,3,2250,5692,2.0,0,0,3,0,2000,0,98146,47.5133,-122.379,445838
218,2014-08-28,2,3900,14864,1.0,0,3,3,1950,1947,0,98144,47.5884,-122.291,1070000
219,2014-10-23,2,1320,10800,1.0,0,0,4,0,1947,0,98177,47.7145,-122.367,467000
220,2014-08-22,4,2760,6440,2.0,0,0,3,0,1999,0,98075,47.5836,-122.026,686000
221,2014-06-05,3,1750,9750,1.0,0,0,3,400,1961,0,98198,47.398,-122.299,279950
222,2014-09-04,4,2330,19436,2.0,0,0,3,0,1987,0,98011,47.7663,-122.215,527000
223,2014-09-18,3,2220,16020,1.0,0,0,4,440,1966,0,98030,47.3758,-122.217,325000
224,2014-09-03,3,2020,8379,2.0,0,0,3,0,1994,0,98038,47.3828,-122.023,328000
225,2014-06-04,3,1250,7500,1.0,0,0,5,0,1942,0,98146,47.5123,-122.373,390000
226,2015-03-09,2,1510,6516,1.0,0,0,3,0,2005,0,98053,47.7076,-122.013,479950
227,2014-05-29,4,1720,9753,1.0,0,0,4,600,1978,0,98023,47.2922,-122.371,264950
228,2015-01-15,3,1430,15246,1.0,0,0,4,450,1961,0,98031,47.4075,-122.214,235000
229,2015-03-03,3,1480,4729,2.0,0,0,3,0,2004,0,98053,47.6794,-122.034,516500
230,2015-04-13,2,1450,15798,2.0,1,4,3,220,1915,1978,98166,47.4497,-122.375,655000
231,2014-06-16,4,2280,15347,1.0,0,0,5,0,1960,0,98059,47.5218,-122.164,500000
232,2014-11-21,6,2940,7350,1.0,0,0,3,1160,1978,0,98023,47.3103,-122.339,315000
233,2014-11-20,2,1000,10200,1.0,0,0,3,0,1961,0,98024,47.5687,-121.899,213000
234,2014-09-02,3,2480,5280,1.5,0,0,5,860,1947,0,98108,47.5575,-122.303,475000
235,2014-06-10,5,3760,28040,2.0,0,0,3,0,1983,0,98033,47.6489,-122.183,1030000
236,2015-04-09,3,2220,94300,1.0,0,0,5,580,1976,0,98010,47.3459,-121.95,416000
237,2015-03-20,4,1970,4740,1.5,0,0,3,300,1904,2005,98122,47.6136,-122.303,410000
238,2014-07-01,3,3830,221284,2.0,0,0,3,300,1993,0,98077,47.7641,-122.023,800000
239,2014-05-29,6,4410,14034,1.0,0,2,4,2060,1965,0,98003,47.3376,-122.324,472000
240,2014-12-08,3,1430,8505,1.0,0,0,4,0,1968,0,98003,47.3173,-122.319,225000
241,2014-10-01,2,830,6000,1.0,0,0,3,0,1940,0,98126,47.5308,-122.376,210000
242,2015-01-27,2,1430,5000,1.5,0,0,2,0,1925,0,98115,47.6727,-122.299,455000
243,2015-04-27,3,1300,8316,1.0,0,0,4,0,1954,0,98002,47.3221,-122.216,225000
244,2014-08-26,2,1030,3060,1.0,0,2,4,240,1918,0,98103,47.6779,-122.353,480000
245,2015-02-12,3,2740,11872,2.0,0,0,3,0,1990,0,98023,47.3076,-122.395,363000
246,2014-09-29,4,3650,8354,1.0,1,4,3,1820,2000,0,98074,47.6338,-122.072,2400000
247,2015-02-26,2,720,5120,1.0,0,0,3,0,1954,0,98106,47.5218,-122.357,181000
248,2015-03-14,4,2010,7312,1.0,0,0,4,0,1976,0,98002,47.2785,-122.213,250000
249,2015-04-22,3,1560,3000,1.0,0,0,4,790,1918,0,98103,47.6846,-122.345,481000
250,2014-09-23,3,1810,7209,1.0,0,0,4,570,1978,0,98032,47.3656,-122.278,260000
251,2014-05-13,4,3360,7685,2.0,0,0,3,0,2001,0,98058,47.4369,-122.111,455000
252,2015-04-01,3,1510,36224,2.0,0,0,3,0,1991,0,98045,47.4616,-121.711,415000
253,2015-04-21,3,1400,3538,1.0,0,0,3,600,1953,0,98118,47.5405,-122.27,349500
254,2014-09-29,3,1730,7442,2.0,0,0,3,0,1987,0,98030,47.3507,-122.178,245000
255,2014-05-19,2,1420,9191,1.5,0,2,5,0,1928,0,98115,47.6979,-122.32,592500
256,2014-10-20,4,2360,7620,1.0,0,0,4,1180,1955,0,98106,47.5278,-122.345,385000
257,2015-02-11,3,1580,11455,1.0,0,0,4,380,1974,0,98059,47.4756,-122.147,315000
258,2014-11-24,3,1230,10170,1.0,0,0,3,0,1979,0,98045,47.4437,-121.772,255000
259,2014-08-29,4,2460,4425,2.0,0,0,3,0,2006,0,98052,47.7048,-122.109,693000
260,2014-12-02,3,1660,4400,1.5,0,0,3,200,1911,0,98112,47.6362,-122.302,780000
261,2014-10-24,3,1270,8470,1.0,0,0,4,0,1960,0,98198,47.4207,-122.29,237000
262,2014-12-16,3,2100,40510,2.0,0,0,3,780,1979,0,98074,47.6154,-122.047,525000
263,2015-04-28,2,770,5040,1.0,0,0,3,0,1930,0,98144,47.5964,-122.299,425000
264,2014-10-27,1,760,10079,1.0,1,4,5,0,1936,0,98070,47.4683,-122.438,369900
265,2014-05-19,4,1700,7280,2.0,0,0,4,0,1988,0,98031,47.4045,-122.171,290000
266,2014-09-29,3,1120,10701,1.0,0,0,3,0,1954,0,98106,47.5544,-122.358,285000
267,2014-08-14,2,1070,4500,1.0,0,0,3,0,1937,0,98115,47.6802,-122.29,415000
268,2015-04-09,3,2070,9900,1.0,0,0,3,650,1979,0,98023,47.2988,-122.371,272500
269,2015-05-04,4,5050,20100,1.5,0,2,3,300,1982,2008,98004,47.6312,-122.223,2900000
270,2014-10-07,4,5310,57346,2.0,0,0,4,0,1989,0,98077,47.7285,-122.042,1370000
271,2015-05-01,2,1040,7538,1.0,0,0,4,0,1939,0,98133,47.7107,-122.352,436000
272,2014-10-17,3,1700,11390,1.0,0,0,4,0,1967,0,98003,47.3271,-122.323,210000
273,2014-09-25,3,1300,5898,1.0,0,0,3,0,1961,0,98178,47.5053,-122.255,236000
274,2014-11-24,3,1080,1306,1.0,0,0,3,500,1954,2003,98199,47.6601,-122.4,331000
275,2015-03-20,3,2653,4510,2.0,0,0,3,0,2006,0,98031,47.4145,-122.166,365000
