,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,price
44,2014-07-29,3,1280,9656,1.0,0,0,4,6,360,1959,0,98058,309000
45,2014-07-18,3,3160,13603,2.0,0,0,3,8,0,2003,0,98019,488000
46,2015-03-25,3,990,8528,1.0,0,0,3,6,0,1966,0,98023,210490
47,2014-07-16,4,2290,13416,2.0,0,0,4,9,0,1981,0,98007,785000
48,2015-04-28,3,1250,5963,1.0,0,0,4,7,0,1953,0,98115,450000
49,2015-03-11,3,2753,65005,1.0,1,2,5,9,588,1953,0,98070,1350000
50,2014-09-16,3,1190,9199,1.0,0,0,3,7,0,1955,0,98148,228000
51,2015-02-17,5,3150,9134,1.0,0,0,4,8,1510,1966,0,98056,345000
52,2014-12-31,3,1410,4080,1.0,0,0,4,7,410,1950,0,98117,600000
53,2015-02-05,2,1980,8550,1.0,0,0,3,7,990,1981,0,98117,585000
54,2015-03-03,5,2730,6000,1.5,0,0,3,8,600,1927,0,98105,920000
55,2014-05-12,4,2830,5000,2.0,0,0,3,9,0,1995,0,98105,885000
56,2014-08-19,4,2250,4495,2.0,0,0,3,7,0,2008,0,98042,292500
57,2015-04-07,3,2420,4750,2.0,0,0,3,8,0,2003,0,98042,301000
58,2014-08-27,5,3250,14342,2.0,0,4,4,8,0,1968,0,98008,951000
59,2015-02-23,4,1850,9976,2.0,0,0,3,8,0,1991,0,98059,430000
60,2014-12-10,3,2150,21235,1.0,0,3,4,8,560,1959,0,98166,650000
61,2014-08-28,3,1260,8400,1.0,0,0,3,7,0,1954,0,98148,289000
62,2014-10-21,3,2519,8690,2.0,0,0,5,8,0,1973,0,98166,505000
63,2014-12-07,3,1540,1044,3.0,0,0,3,8,0,2014,0,98115,549000
64,2014-06-03,3,1660,6000,1.0,0,0,3,7,550,1979,0,98122,425000
65,2014-11-20,3,2770,3809,1.5,0,0,5,7,1000,1925,0,98144,317625
66,2014-09-09,4,2720,11049,2.0,0,0,3,10,0,1989,0,98004,975000
67,2014-10-09,4,2240,4648,2.0,0,0,3,7,0,2005,0,98001,287000
68,2014-08-25,3,1000,12070,1.0,0,0,4,7,0,1968,0,98042,204000
69,2014-06-12,5,3200,20158,1.0,0,0,3,8,1600,1965,0,98004,1330000
70,2014-09-12,5,4770,50094,1.0,0,0,4,11,1700,1973,0,98005,1040000
71,2015-01-05,3,1260,5612,1.0,0,0,4,7,0,1972,0,98034,325000
72,2014-06-10,4,2750,7807,1.5,0,0,5,7,500,1916,0,98125,571000
73,2014-07-10,4,2380,5000,2.0,0,0,3,8,0,2005,0,98038,360000
74,2015-03-16,3,1790,50529,1.0,0,0,5,7,700,1965,0,98042,349000
75,2014-11-05,4,3430,35102,2.0,0,0,4,10,1040,1986,0,98075,832500
76,2014-10-13,4,1760,7300,1.0,0,0,3,7,880,1956,0,98008,380000
77,2015-04-20,3,1040,5060,1.0,0,0,3,7,0,1941,0,98116,480000
78,2014-06-09,3,1410,5060,1.0,0,0,4,7,500,1956,0,98133,410000
79,2015-03-23,4,3450,39683,2.0,0,0,3,10,0,2002,0,98010,720000
80,2014-12-02,3,2350,5100,2.0,0,0,3,8,0,2003,0,98038,390000
81,2014-12-22,4,1900,5889,2.0,0,0,3,7,0,1992,0,98038,360000
82,2014-10-28,2,2020,6720,1.0,0,0,3,7,1010,1948,0,98118,355000
83,2015-01-28,3,1680,8712,1.0,0,0,3,8,0,1964,0,98059,356000
84,2014-06-02,3,960,6634,1.0,0,0,3,6,0,1952,0,98125,315000
85,2014-11-14,3,2140,3600,2.0,0,0,3,9,240,1925,0,98119,940000
86,2014-11-03,5,2660,8400,1.5,0,0,5,7,0,1961,0,98092,305000
87,2014-06-18,3,2770,6278,2.0,0,0,3,9,790,2006,0,98056,461000
88,2014-05-19,2,1610,2040,2.0,0,0,4,7,0,1979,0,98056,215000
89,2014-09-04,2,1030,1066,2.0,0,0,3,7,265,2006,0,98136,335000
90,2014-05-22,4,1980,7403,2.0,0,0,3,7,0,1988,0,98023,243500
91,2015-03-11,5,3520,6353,2.0,0,0,4,10,0,2001,0,98199,1100000
92,2015-02-26,3,1200,10500,1.0,0,0,3,7,0,1962,0,98023,153000
93,2014-07-25,3,1580,5000,1.0,0,0,3,8,290,1939,0,98117,430000
94,2014-12-23,3,1580,5000,1.0,0,0,3,8,290,1939,0,98117,700000
95,2014-09-08,4,3300,10250,1.0,0,0,3,7,910,1946,1991,98040,905000
96,2015-03-30,3,1960,15681,1.0,0,0,3,7,0,1967,0,98032,247500
97,2014-09-12,4,1160,6400,1.0,0,0,4,7,0,1975,0,98023,199000
98,2014-07-11,3,1810,41800,1.0,0,0,5,7,600,1980,0,98038,314000
99,2014-05-16,3,2320,36847,2.0,0,2,3,9,0,1992,0,98045,437500
100,2014-06-11,3,2070,13241,1.5,0,0,5,9,800,1910,0,98102,850830
101,2014-10-27,3,1980,3478,1.5,0,0,4,7,540,1929,0,98117,555000
102,2014-12-12,3,2190,107593,2.0,0,0,4,8,0,1983,0,98077,699950
103,2014-10-07,3,2920,8113,2.0,0,0,3,8,0,1950,2010,98004,1090000
104,2014-09-24,3,1210,33919,1.0,0,0,3,7,0,1954,0,98058,290000
105,2015-04-02,3,2340,10005,1.0,0,0,4,8,880,1978,0,98058,375000
106,2014-05-23,3,1670,4005,1.5,0,0,4,7,500,1939,0,98117,460000
107,2014-07-23,2,1240,2493,1.0,0,0,4,8,0,1985,0,98198,188500
108,2015-03-05,4,3140,28037,2.0,0,0,4,10,0,1991,0,98077,680000
109,2014-08-27,5,2030,12342,2.0,0,0,4,7,0,1942,0,98052,470000
110,2014-07-25,4,2310,9624,2.0,0,0,3,8,0,1984,0,98027,597750
111,2015-03-04,3,1260,3328,1.0,0,0,5,6,560,1905,0,98103,570000
112,2014-09-16,3,1540,12600,1.0,0,0,4,7,380,1980,0,98038,272500
113,2014-11-24,3,2080,5969,1.0,0,2,3,7,1000,1971,0,98108,329950
114,2014-10-28,4,3230,16171,2.0,0,3,3,9,710,2001,0,98001,480000
115,2014-11-21,3,4380,6350,2.0,0,0,3,8,1600,1900,1999,98117,740500
116,2014-06-26,3,1590,1102,3.0,0,0,3,8,0,2010,0,98103,518500
117,2014-06-23,2,880,6780,1.0,0,0,4,6,0,1945,0,98178,205425
118,2015-01-08,4,1570,9600,1.0,0,0,3,6,0,1950,0,98168,171800
119,2015-05-11,4,1610,2982,1.5,0,0,4,7,0,1925,0,98144,535000
120,2015-01-02,3,2400,6474,1.0,0,2,3,8,840,1964,0,98177,660000
121,2014-11-19,3,1450,9132,1.0,0,0,3,7,0,1987,0,98034,391500
122,2015-04-06,2,770,6000,1.0,0,0,3,6,0,1953,0,98117,395000
123,2014-11-04,4,2100,4400,1.5,0,0,5,7,380,1924,0,98118,445000
124,2014-06-18,3,2910,10204,2.0,0,0,3,9,0,1990,0,98052,770000
125,2015-03-02,4,2750,17789,1.5,0,0,3,8,770,1914,1992,98004,1450000
126,2014-07-17,3,2100,8201,1.0,0,2,3,8,480,1967,0,98178,445000
127,2014-07-17,4,2160,8811,1.0,0,0,3,8,800,1978,0,98023,260000
128,2014-06-13,5,2320,4960,2.0,0,0,5,7,600,1926,0,98103,822500
129,2015-04-06,4,2070,4310,2.0,0,0,3,7,0,2004,0,98065,430000
130,2015-01-05,3,1060,7875,1.0,0,0,4,7,0,1986,0,98092,212000
131,2015-04-28,4,2010,9603,1.0,0,0,3,8,570,1986,0,98027,660500
132,2014-06-12,3,3950,111078,1.5,0,0,3,9,1490,1989,0,98052,784000
133,2014-05-12,3,2010,2287,2.0,0,0,3,8,620,2014,0,98029,453246
134,2015-01-26,4,2140,2278,3.0,0,0,3,9,0,2005,0,98107,675000
135,2014-08-13,3,1320,17390,1.0,0,0,4,7,0,1956,0,98003,199000
136,2014-08-05,4,2020,7840,1.0,0,0,3,7,1010,1968,0,98003,220000
137,2014-05-29,4,2590,10002,1.0,0,0,4,8,1250,1968,0,98028,452000
138,2014-07-07,2,1190,4440,1.0,0,0,3,6,0,1981,0,98125,382500
139,2014-05-07,3,1170,1249,3.0,0,0,3,8,0,2014,0,98107,519950
140,2014-06-27,2,1110,3200,1.0,0,0,3,7,0,1925,0,98119,665000
141,2014-07-08,5,2820,9375,1.0,0,0,4,8,1270,1968,0,98006,527700
142,2015-05-08,3,1610,8579,1.0,0,0,4,7,600,1962,0,98058,205000
143,2015-04-15,3,1060,8097,1.0,0,0,4,7,120,1923,0,98133,420000
144,2015-02-27,4,2030,8517,1.0,0,0,4,8,650,1961,0,98006,500000
145,2014-12-03,4,3670,315374,2.0,0,0,4,9,0,1994,0,98077,921500
146,2014-06-25,4,2550,4000,2.0,0,0,3,8,180,1905,0,98109,890000
147,2014-08-06,2,2420,60984,2.0,0,0,3,7,0,2007,0,98027,430000
148,2014-10-30,5,2260,12500,1.0,0,0,4,8,1130,1960,0,98032,258000
149,2014-11-04,3,1430,3455,1.0,0,0,3,7,450,1947,0,98103,511000
150,2014-08-20,3,1360,3090,2.0,0,0,3,8,0,1990,0,98103,532170
151,2015-04-09,3,1110,5000,1.5,0,0,3,7,0,1947,0,98107,560000
152,2015-03-31,3,1250,8200,1.0,0,0,4,7,0,1954,0,98003,282950
153,2015-04-01,4,5180,19850,2.0,0,3,3,12,1640,2006,0,98006,2250000
154,2014-05-16,1,700,5100,1.0,0,0,3,7,0,1942,0,98115,350000
155,2014-07-28,3,1180,7669,1.0,0,0,4,7,0,1967,0,98058,215000
156,2014-11-20,5,3960,25245,2.0,0,0,3,9,1460,1996,0,98056,650000
157,2014-08-07,4,2640,7500,1.0,0,0,3,8,1020,1967,0,98023,320000
158,2014-11-13,3,1270,7198,1.5,0,0,3,7,0,1916,2013,98022,247000
159,2014-10-03,4,1760,11180,1.0,0,0,4,8,0,1968,0,98059,320000
160,2014-05-07,5,2060,8632,1.0,0,0,3,7,1030,1962,0,98146,255000
161,2015-03-09,3,1780,9660,1.0,0,0,3,7,0,1962,0,98034,438000
162,2015-03-04,3,3400,16603,2.0,0,0,3,10,0,2000,0,98075,900000
163,2014-06-20,3,1910,7280,1.0,0,0,3,7,750,1979,0,98034,441000
164,2014-08-12,3,2020,38332,1.0,0,0,4,7,1010,1975,0,98027,420000
165,2014-12-08,3,1580,7000,1.0,0,0,3,7,400,1976,0,98034,370000
166,2015-02-19,2,1340,7250,1.0,0,0,5,5,640,1949,0,98198,269950
167,2015-03-24,4,2680,4499,2.0,0,0,3,9,0,1999,0,98006,807100
168,2014-06-05,3,2680,9750,1.0,0,0,4,8,1070,1979,0,98034,653000
169,2014-06-11,3,1370,8336,1.0,0,0,5,7,0,1964,0,98133,371500
170,2015-03-16,3,1560,21000,1.0,0,0,3,7,0,1954,0,98166,284000
171,2015-01-02,3,2160,7140,1.0,0,0,4,7,490,1978,0,98023,272000
172,2014-05-02,3,1340,7912,1.5,0,0,3,7,0,1955,0,98133,313000
173,2015-01-16,4,3880,35003,2.0,0,0,3,10,1310,1984,0,98033,917500
174,2014-09-29,4,2590,8190,2.0,0,0,4,8,0,1980,0,98006,673000
175,2015-02-10,3,1120,1100,2.0,0,0,3,8,300,2008,0,98122,425000
176,2014-07-09,5,1970,5400,1.0,0,0,3,7,650,1986,0,98144,399950
177,2014-05-30,3,1220,4800,1.0,0,0,3,6,0,1901,0,98122,385000
178,2014-11-17,3,1950,7560,1.0,0,2,4,7,630,1975,0,98022,269950
179,2015-01-07,2,1350,8220,1.0,0,0,3,7,290,1949,0,98177,330000
180,2014-07-25,3,1670,5797,2.0,0,0,3,7,0,1988,0,98030,260000
181,2015-04-14,4,2380,5125,1.5,0,0,4,7,700,1925,0,98126,470000
182,2014-06-13,4,2440,9600,2.0,0,0,5,7,0,1961,0,98034,589000
183,2014-07-23,2,1050,3419,2.0,0,0,3,7,0,1996,0,98038,163500
184,2014-09-05,4,3130,13412,2.0,0,0,3,9,990,1993,0,98052,835000
185,2014-11-21,5,4090,12850,1.0,0,2,4,10,2000,1986,0,98033,1100000
186,2015-04-15,4,1490,10000,1.0,0,0,4,8,390,1969,0,98023,269000
187,2014-05-05,3,1900,8744,2.0,0,0,3,8,0,1987,0,98074,560000
188,2015-04-18,4,1330,2400,1.5,0,0,4,6,0,1901,0,98103,615000
189,2014-12-05,3,2230,10026,1.0,0,0,3,8,800,1975,0,98052,585188
190,2014-08-18,3,1650,9480,1.0,0,0,3,7,430,1977,0,98034,305000
191,2014-11-05,3,1190,8820,1.0,0,0,3,6,0,1959,0,98058,166950
192,2014-09-12,3,2140,9897,1.0,0,0,4,8,0,1959,0,98040,799000
193,2014-06-25,3,2180,7508,1.0,0,0,4,7,760,1962,0,98133,400000
194,2014-12-01,3,1060,10228,1.0,0,0,3,7,0,1948,0,98155,230000
195,2014-05-15,3,1690,5025,2.0,0,0,3,8,0,2003,0,98023,256883
196,2014-11-11,4,1970,6480,1.5,0,0,5,7,840,1920,0,98108,423000
197,2014-07-23,3,2150,4084,2.0,0,0,3,8,0,2007,0,98126,465000
198,2015-01-13,3,1910,66211,2.0,0,0,3,7,0,1997,0,98024,440000
199,2014-10-14,3,1350,155073,1.0,0,0,4,7,0,1969,0,98038,385000
200,2015-03-11,3,860,11725,1.0,0,0,4,6,0,1943,0,98056,210000
201,2014-11-12,3,1940,14952,2.0,0,0,3,8,0,1994,0,98042,297000
202,2014-07-16,3,1010,5000,1.0,0,0,3,7,0,1952,0,98107,470000
203,2014-08-04,3,1300,7370,1.0,0,0,4,7,400,1976,0,98023,226500
204,2015-03-03,3,910,8450,1.0,0,0,4,6,0,1962,0,98059,274250
205,2014-08-04,4,2480,11010,1.0,0,0,4,9,850,1966,0,98040,840000
206,2014-09-19,3,2440,4587,2.0,0,0,3,8,0,2010,0,98052,677900
207,2015-02-05,3,1010,5864,1.0,0,0,3,7,0,1915,0,98116,425000
208,2014-11-23,2,900,9600,1.0,0,0,3,6,0,1941,0,98166,180250
209,2014-07-17,6,2300,3404,2.0,0,0,3,7,700,1920,1994,98133,464000
210,2015-04-22,4,1550,7579,2.0,0,0,3,8,0,1993,0,98038,320000
211,2014-07-17,3,1270,1566,2.0,0,0,3,8,210,2014,0,98105,625504
212,2014-05-15,4,2240,12032,1.0,0,0,3,9,0,1983,0,98074,592500
213,2015-01-14,3,2714,17936,2.0,0,0,3,9,0,2005,0,98001,465000
214,2014-05-27,4,1720,6270,2.0,0,0,3,8,0,1978,0,98118,477000
215,2015-01-15,2,850,16400,1.0,0,0,3,6,0,1923,0,98168,280000
216,2015-02-21,5,3300,33474,1.0,0,3,3,9,1430,1957,1991,98040,1510000
217,2014-07-03,3,2250,5692,2.0,0,0,3,8,0,2000,0,98146,445838
218,2014-08-28,2,3900,14864,1.0,0,3,3,8,1950,1947,0,98144,1070000
219,2014-10-23,2,1320,10800,1.0,0,0,4,8,0,1947,0,98177,467000
220,2014-08-22,4,2760,6440,2.0,0,0,3,10,0,1999,0,98075,686000
221,2014-06-05,3,1750,9750,1.0,0,0,3,7,400,1961,0,98198,279950
222,2014-09-04,4,2330,19436,2.0,0,0,3,8,0,1987,0,98011,527000
223,2014-09-18,3,2220,16020,1.0,0,0,4,8,440,1966,0,98030,325000
224,2014-09-03,3,2020,8379,2.0,0,0,3,7,0,1994,0,98038,328000
225,2014-06-04,3,1250,7500,1.0,0,0,5,7,0,1942,0,98146,390000
226,2015-03-09,2,1510,6516,1.0,0,0,3,8,0,2005,0,98053,479950
227,2014-05-29,4,1720,9753,1.0,0,0,4,7,600,1978,0,98023,264950
228,2015-01-15,3,1430,15246,1.0,0,0,4,7,450,1961,0,98031,235000
229,2015-03-03,3,1480,4729,2.0,0,0,3,7,0,2004,0,98053,516500
230,2015-04-13,2,1450,15798,2.0,1,4,3,7,220,1915,1978,98166,655000
231,2014-06-16,4,2280,15347,1.0,0,0,5,7,0,1960,0,98059,500000
232,2014-11-21,6,2940,7350,1.0,0,0,3,8,1160,1978,0,98023,315000
233,2014-11-20,2,1000,10200,1.0,0,0,3,6,0,1961,0,98024,213000
234,2014-09-02,3,2480,5280,1.5,0,0,5,7,860,1947,0,98108,475000
235,2014-06-10,5,3760,28040,2.0,0,0,3,10,0,1983,0,98033,1030000
236,2015-04-09,3,2220,94300,1.0,0,0,5,7,580,1976,0,98010,416000
237,2015-03-20,4,1970,4740,1.5,0,0,3,7,300,1904,2005,98122,410000
238,2014-07-01,3,3830,221284,2.0,0,0,3,10,300,1993,0,98077,800000
239,2014-05-29,6,4410,14034,1.0,0,2,4,9,2060,1965,0,98003,472000
240,2014-12-08,3,1430,8505,1.0,0,0,4,7,0,1968,0,98003,225000
241,2014-10-01,2,830,6000,1.0,0,0,3,6,0,1940,0,98126,210000
242,2015-01-27,2,1430,5000,1.5,0,0,2,7,0,1925,0,98115,455000
243,2015-04-27,3,1300,8316,1.0,0,0,4,6,0,1954,0,98002,225000
244,2014-08-26,2,1030,3060,1.0,0,2,4,7,240,1918,0,98103,480000
245,2015-02-12,3,2740,11872,2.0,0,0,3,9,0,1990,0,98023,363000
246,2014-09-29,4,3650,8354,1.0,1,4,3,9,1820,2000,0,98074,2400000
247,2015-02-26,2,720,5120,1.0,0,0,3,6,0,1954,0,98106,181000
248,2015-03-14,4,2010,7312,1.0,0,0,4,7,0,1976,0,98002,250000
249,2015-04-22,3,1560,3000,1.0,0,0,4,6,790,1918,0,98103,481000
250,2014-09-23,3,1810,7209,1.0,0,0,4,7,570,1978,0,98032,260000
251,2014-05-13,4,3360,7685,2.0,0,0,3,9,0,2001,0,98058,455000
252,2015-04-01,3,1510,36224,2.0,0,0,3,8,0,1991,0,98045,415000
253,2015-04-21,3,1400,3538,1.0,0,0,3,7,600,1953,0,98118,349500
254,2014-09-29,3,1730,7442,2.0,0,0,3,7,0,1987,0,98030,245000
255,2014-05-19,2,1420,9191,1.5,0,2,5,7,0,1928,0,98115,592500
256,2014-10-20,4,2360,7620,1.0,0,0,4,7,1180,1955,0,98106,385000
257,2015-02-11,3,1580,11455,1.0,0,0,4,7,380,1974,0,98059,315000
258,2014-11-24,3,1230,10170,1.0,0,0,3,7,0,1979,0,98045,255000
259,2014-08-29,4,2460,4425,2.0,0,0,3,8,0,2006,0,98052,693000
260,2014-12-02,3,1660,4400,1.5,0,0,3,8,200,1911,0,98112,780000
261,2014-10-24,3,1270,8470,1.0,0,0,4,7,0,1960,0,98198,237000
262,2014-12-16,3,2100,40510,2.0,0,0,3,10,780,1979,0,98074,525000
263,2015-04-28,2,770,5040,1.0,0,0,3,5,0,1930,0,98144,425000
264,2014-10-27,1,760,10079,1.0,1,4,5,5,0,1936,0,98070,369900
265,2014-05-19,4,1700,7280,2.0,0,0,4,7,0,1988,0,98031,290000
266,2014-09-29,3,1120,10701,1.0,0,0,3,7,0,1954,0,98106,285000
267,2014-08-14,2,1070,4500,1.0,0,0,3,7,0,1937,0,98115,415000
268,2015-04-09,3,2070,9900,1.0,0,0,3,8,650,1979,0,98023,272500
269,2015-05-04,4,5050,20100,1.5,0,2,3,11,300,1982,2008,98004,2900000
270,2014-10-07,4,5310,57346,2.0,0,0,4,11,0,1989,0,98077,1370000
271,2015-05-01,2,1040,7538,1.0,0,0,4,7,0,1939,0,98133,436000
272,2014-10-17,3,1700,11390,1.0,0,0,4,7,0,1967,0,98003,210000
273,2014-09-25,3,1300,5898,1.0,0,0,3,7,0,1961,0,98178,236000
274,2014-11-24,3,1080,1306,1.0,0,0,3,7,500,1954,2003,98199,331000
275,2015-03-20,3,2653,4510,2.0,0,0,3,8,0,2006,0,98031,365000
276,2015-01-27,3,2290,16258,1.0,0,0,5,8,0,1960,0,98058,450000
277,2014-11-13,4,3820,26300,2.0,0,0,3,9,970,2014,0,98028,770000
278,2015-05-05,4,2210,49375,1.0,0,0,3,8,0,1997,0,98038,455000
279,2015-05-05,3,2390,6000,1.0,0,0,3,6,1150,1908,0,98118,405000
280,2014-07-03,4,2600,11325,1.0,0,0,4,7,990,1969,0,98031,304900
281,2015-02-27,2,860,5265,1.0,0,0,3,6,0,1931,0,98178,170000
282,2015-05-13,5,3830,8480,2.0,0,1,5,9,1200,1905,1994,98122,2050000
283,2014-06-30,4,3500,7048,2.0,0,0,3,9,0,2005,0,98053,780000
284,2015-04-10,3,2420,13959,1.0,0,0,4,8,680,1988,0,98028,330000
285,2014-09-05,4,2720,8666,2.0,0,0,3,9,0,1992,0,98030,370000
286,2014-10-17,5,2500,13500,1.0,0,0,3,7,650,1979,0,98072,467000
287,2015-02-09,3,1670,6720,1.0,0,0,3,7,530,1980,0,98034,405000
288,2014-07-02,5,2900,10300,1.0,0,0,3,8,1450,1985,0,98006,675000
289,2014-08-12,2,1640,14100,1.0,0,0,4,7,500,1954,0,98006,500000
290,2014-07-23,4,1890,15770,2.0,0,0,4,7,0,1968,0,98166,389999
291,2015-02-24,4,2950,9025,1.0,0,2,4,8,1170,1975,0,98034,630000
292,2014-10-22,4,2160,9528,2.0,0,0,3,9,0,1992,0,98001,360000
293,2014-10-02,4,3280,11060,2.0,0,0,3,8,1010,1986,0,98056,580000
294,2014-07-09,3,1970,4166,2.0,0,3,5,8,700,1929,0,98126,550000
295,2014-07-10,4,3360,22111,2.0,0,0,3,10,0,1994,0,98075,879000
296,2014-08-22,3,1320,8959,1.0,0,0,3,7,0,1993,0,98042,265000
297,2015-03-04,3,2650,7286,2.0,0,0,3,8,0,1990,0,98059,446500
298,2014-06-02,3,2030,8880,1.0,0,0,3,7,700,1963,0,98108,404000
299,2014-05-29,3,1590,11914,1.0,0,2,3,7,500,1957,0,98188,267500
300,2014-06-24,4,4550,18641,1.0,1,4,3,10,1950,2002,0,98074,3080000
301,2014-08-11,3,2440,7632,2.0,0,0,3,8,0,1998,0,98003,335000
302,2014-06-19,3,1940,9000,1.0,0,0,4,7,970,1948,0,98117,576000
303,2015-04-01,3,2040,3810,2.0,0,0,3,8,0,2006,0,98038,208633
304,2015-01-15,3,2200,8750,1.0,0,0,4,7,1080,1964,0,98166,315000
305,2015-02-17,3,1920,3300,1.0,0,0,4,8,960,1913,0,98112,725000
306,2015-04-03,4,1800,7750,1.0,0,0,4,8,400,1965,0,98177,550000
307,2014-06-12,4,2180,7297,2.0,0,0,3,8,0,1984,0,98074,610750
308,2015-02-28,2,1010,5000,1.5,0,0,4,6,0,1908,0,98105,550700
309,2015-01-08,4,3320,10574,2.0,0,0,5,8,1100,1960,0,98056,665000
310,2015-02-09,4,2370,4000,1.5,0,2,5,8,390,1928,0,98144,834000
311,2014-10-23,5,1660,78408,1.5,0,0,3,6,0,1915,0,98065,201000
312,2014-05-02,5,3650,9050,2.0,0,4,5,10,280,1921,0,98119,2380000
313,2014-06-18,4,4290,12103,1.0,0,3,3,11,1600,1997,0,98006,1380000
314,2014-12-09,4,4290,12103,1.0,0,3,3,11,1600,1997,0,98006,1400000
315,2014-11-05,4,1950,7700,1.0,0,0,3,8,600,1979,0,98058,305000
316,2015-04-08,3,2590,14052,1.0,0,0,5,8,870,1948,0,98133,487000
317,2015-05-11,3,1930,64904,1.0,0,0,4,8,0,1988,0,98042,390000
318,2014-07-23,2,1470,3864,1.0,0,0,4,7,300,1916,0,98103,548000
319,2014-11-22,4,800,8775,1.0,0,0,3,6,0,1943,0,98166,268750
320,2014-05-13,5,3150,7119,2.0,0,0,3,9,0,2013,0,98052,819900
321,2014-10-23,3,2030,16200,2.0,0,0,3,8,0,1984,0,98027,520000
322,2014-07-21,3,1450,11204,1.0,0,0,3,7,0,2003,0,98001,230000
323,2015-02-02,3,1510,10248,1.0,0,0,3,7,0,1969,0,98023,240000
324,2014-09-05,2,1240,12092,1.0,0,0,3,6,280,1922,1984,98146,232000
325,2015-03-11,2,1240,12092,1.0,0,0,3,6,280,1922,1984,98146,240500
326,2014-10-27,3,3030,45004,2.0,0,0,3,9,0,1987,0,98077,274975
327,2014-09-05,4,2050,4400,1.5,0,0,4,9,0,1922,0,98102,740000
