,date,bedrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,price
384,2014-07-28,5,4800,14984,2.0,0,2,3,11,1320,1998,0,98006,1350000
385,2014-11-11,4,2510,11585,2.0,0,0,4,8,0,1969,0,98040,799000
393,2014-05-12,4,3300,12090,2.0,0,0,3,8,0,1953,0,98004,927000
394,2014-07-28,4,3840,16619,2.0,0,1,4,10,0,1983,0,98040,1120000
405,2014-09-12,3,1510,2000,2.0,0,0,3,9,180,2001,0,98116,650000
409,2014-09-11,4,2840,40139,1.0,0,4,4,10,0,1986,0,98038,840000
427,2015-02-25,3,2350,15021,1.0,0,0,4,8,580,1976,0,98004,1300000
431,2014-09-08,4,4040,19700,2.0,0,0,3,11,0,1987,0,98052,988000
432,2014-07-22,4,2610,3277,1.5,0,0,5,8,690,1922,0,98103,1000000
435,2014-09-16,4,1710,9627,1.0,0,0,3,9,270,1976,2014,98006,749000
436,2014-08-21,5,4870,11800,2.0,0,0,3,10,1400,1983,0,98074,722500
437,2015-03-12,3,3130,8750,2.0,0,0,3,10,0,1991,0,98052,843000
446,2014-11-10,3,3545,9816,1.0,0,0,3,10,935,2005,0,98027,1030000
450,2015-05-02,3,3970,24920,2.0,0,2,3,10,710,1977,1999,98034,1450000
453,2015-04-21,3,2360,16117,1.0,0,0,4,8,650,1983,0,98006,691100
454,2014-10-14,3,1870,9897,1.0,0,0,4,8,0,1960,0,98040,811000
457,2014-11-26,3,1970,20978,2.0,1,3,4,9,200,1980,0,98070,705000
460,2014-06-26,4,3450,7832,2.0,0,0,3,10,0,2007,0,98006,1050000
471,2015-02-13,3,3840,6161,2.0,0,0,3,10,0,2000,0,98074,868700
472,2014-11-13,4,4110,8400,2.0,0,1,3,9,980,1928,2013,98125,1200000
473,2014-10-14,4,4190,10259,2.0,0,0,3,11,1040,2000,0,98074,1150000
474,2014-08-11,4,3390,6298,2.0,0,0,3,9,0,2011,0,98074,859900
482,2015-03-25,3,2990,9773,2.0,0,0,4,8,0,1973,0,98005,849950
484,2015-04-10,4,4860,181319,2.5,0,0,3,9,0,1993,0,98074,1390000
486,2014-07-11,6,4860,11793,2.0,0,0,3,11,1000,1998,0,98006,1070000
488,2014-12-16,4,2810,7302,2.0,0,0,3,9,0,2002,0,98075,699900
489,2015-02-10,5,3400,9500,2.0,0,1,4,8,0,1977,0,98027,1280000
493,2014-10-30,5,2820,14062,2.0,0,0,4,7,440,1960,0,98034,669950
496,2015-01-28,4,2110,4140,2.0,0,0,3,9,400,1925,2003,98116,725000
500,2015-05-10,4,3180,5438,2.0,0,0,3,9,0,2003,0,98065,650000
503,2014-10-15,4,2770,7800,2.0,0,0,3,10,0,1999,0,98033,1200000
509,2014-06-12,4,4030,10800,2.0,0,0,3,10,0,2006,0,98033,1490000
512,2014-07-21,5,4410,57063,2.0,0,0,4,9,0,1990,0,98053,1100000
517,2015-05-07,3,2400,7745,2.0,0,0,3,9,0,2001,0,98033,750000
518,2014-11-14,4,4760,8036,2.5,0,0,5,9,1370,1916,0,98112,2250000
519,2014-08-05,4,3180,194278,2.0,0,0,3,10,0,2005,0,98059,890000
525,2014-11-21,2,1240,9119,1.0,0,0,4,7,0,1952,0,98004,727500
526,2014-06-20,4,3040,6587,2.0,0,0,3,7,0,2003,0,98053,650000
529,2014-10-08,3,2500,36947,1.0,0,0,3,9,0,1984,0,98052,662000
532,2015-02-24,4,4740,76230,2.0,0,0,3,10,0,1987,0,98075,970000
545,2015-04-22,4,3350,29242,2.0,0,0,3,11,0,1988,0,98052,910000
546,2014-05-23,4,2380,9614,2.0,0,0,4,10,0,1991,0,98006,782000
550,2014-07-23,3,2180,10221,1.0,0,2,4,7,1040,1946,0,98040,705000
551,2014-10-13,3,4380,6320,2.0,0,3,5,10,800,1952,0,98199,1450000
555,2014-07-22,4,2990,29170,2.0,0,3,3,9,0,1999,0,98059,725000
556,2014-06-20,7,4640,15235,2.0,0,1,3,11,1780,1965,2003,98040,1950000
558,2015-04-27,6,2750,9563,2.0,0,0,4,8,0,1973,0,98052,750000
562,2014-12-17,3,2870,5163,2.0,0,0,3,9,0,2014,0,98103,880000
563,2014-06-13,4,4120,22370,2.0,0,0,3,10,0,1997,0,98074,863000
567,2014-08-14,5,2160,4000,1.5,0,0,5,7,630,1927,0,98105,671500
571,2015-01-23,4,3200,7708,2.0,0,0,3,10,0,2004,0,98075,720000
573,2014-06-03,5,2550,5040,1.5,0,0,5,8,0,1902,0,98122,650000
582,2014-07-01,2,2130,4920,1.5,0,4,4,7,600,1941,0,98116,730000
587,2014-07-08,3,3180,12600,2.0,0,0,4,11,0,1978,0,98074,900000
589,2015-03-14,3,2060,2900,1.5,0,0,5,8,730,1931,0,98144,685000
599,2014-08-05,4,3200,15367,2.0,0,0,4,9,0,1962,0,98040,1220000
611,2014-11-05,3,1870,3388,1.0,0,0,4,8,640,1925,0,98199,650000
613,2014-06-10,3,2540,4694,2.0,0,0,3,9,0,2005,0,98074,695000
627,2015-04-06,3,1900,9375,1.0,0,1,4,8,570,1941,0,98115,1040000
633,2014-09-12,3,2690,11575,1.0,0,3,3,8,560,1957,0,98028,650000
639,2015-04-09,3,3000,5750,2.0,0,0,5,9,1000,1924,0,98116,1120000
643,2015-05-12,3,1660,1091,3.0,0,1,3,9,130,2015,0,98116,729500
655,2015-04-22,3,3180,10492,2.0,0,2,3,10,0,1991,0,98052,1000000
656,2014-11-20,3,3930,55867,1.0,1,4,4,8,1600,1957,0,98034,3070000
658,2015-01-02,4,2770,3330,2.0,0,0,3,8,800,2001,0,98052,748000
659,2014-09-02,3,1250,8710,1.0,0,0,4,7,0,1953,0,98004,888000
667,2014-09-30,4,2630,4000,3.0,0,0,3,8,0,2002,0,98117,655000
669,2014-08-02,4,3160,5000,2.0,0,0,5,9,800,1965,0,98105,1250000
672,2015-03-16,4,2510,11880,1.0,0,0,5,8,880,1978,0,98006,664000
673,2014-07-29,4,1800,4180,2.0,0,3,4,8,0,1921,0,98102,865000
679,2014-07-31,4,4370,18361,2.0,0,0,3,11,0,2001,0,98065,1150000
681,2014-05-28,4,2580,209523,2.0,0,0,3,8,0,1984,0,98053,799000
685,2015-01-05,5,2990,6768,2.0,0,0,3,9,0,2014,0,98006,802541
691,2014-09-23,5,4570,19252,2.0,0,0,5,10,0,1965,0,98040,1480000
694,2014-07-12,4,2900,23488,2.0,0,0,3,9,0,1992,0,98053,690000
696,2014-12-29,5,2830,25958,1.0,0,1,5,8,1220,1979,0,98075,700000
699,2014-10-09,4,2240,11034,2.0,0,0,3,8,0,1976,0,98004,980000
700,2015-04-07,2,1380,5000,1.5,0,2,3,5,0,1905,0,98106,795000
718,2015-01-02,6,2660,13579,2.0,0,0,3,7,0,1937,1990,98125,730000
722,2014-08-08,4,4670,51836,2.0,0,0,4,12,0,1988,0,98005,1580000
729,2014-05-09,4,4230,37769,2.0,0,0,3,11,0,1989,0,98077,985000
738,2014-11-13,3,3400,5979,2.0,0,0,4,9,1110,1937,0,98105,1300000
742,2014-11-07,3,2100,72745,1.0,0,0,4,9,0,1995,0,98077,740000
746,2014-07-14,4,2010,5070,1.0,0,1,4,7,710,1963,0,98116,650000
751,2014-12-10,3,2150,4200,1.0,0,4,5,8,1010,1960,0,98116,950000
753,2014-08-28,2,2380,6600,1.0,0,0,3,8,0,2010,0,98053,699800
754,2014-06-03,3,1370,3850,1.0,0,0,5,7,600,1911,1988,98112,850000
756,2014-07-15,5,3750,9612,1.0,0,2,4,9,1720,1981,0,98006,942500
757,2015-01-21,2,3950,3938,2.0,0,4,3,10,1040,1991,0,98116,1310000
758,2015-02-02,4,2400,13430,1.0,0,0,4,9,0,1964,0,98005,856600
766,2015-03-24,4,2490,9864,1.0,0,0,4,8,1200,1961,0,98004,824000
768,2015-01-07,4,2430,6099,1.0,0,0,5,8,960,1965,0,98115,760000
779,2014-06-12,5,4860,9453,1.5,0,1,5,10,1760,1905,0,98112,2250000
783,2015-01-21,4,2000,4800,2.0,0,0,4,7,0,1911,0,98103,715000
784,2014-12-02,6,3610,10003,1.5,0,0,4,8,0,1966,0,98008,650000
791,2014-06-23,4,2810,11120,2.0,0,0,3,9,0,1982,0,98074,675000
792,2014-07-09,4,3550,11000,1.0,0,2,3,11,1290,1999,0,98006,1360000
796,2014-10-06,4,3200,36276,2.0,0,0,3,9,0,1993,0,98053,737500
797,2014-09-26,4,1740,9000,1.0,0,0,5,8,0,1958,0,98033,710000
799,2015-02-24,4,4270,40097,1.0,0,0,4,12,0,1993,0,98077,1100000
800,2014-08-15,3,1340,2720,1.5,0,0,3,7,0,1913,0,98103,650000
801,2014-05-19,4,3190,8684,1.0,0,3,5,9,1510,1967,0,98006,1220000
814,2015-03-25,4,4890,15188,2.0,0,2,3,11,1800,1999,0,98040,2400000
818,2014-08-14,5,2760,5000,2.0,0,0,3,9,0,2005,0,98059,682000
822,2014-09-01,3,3010,5000,2.0,0,2,5,9,1120,1931,0,98199,1100000
826,2015-05-12,3,2010,3090,1.5,0,0,5,7,500,1926,0,98103,825000
829,2015-03-19,4,2610,24931,2.0,0,0,3,8,0,1983,0,98075,659000
833,2014-09-11,6,2450,25600,1.0,0,2,3,7,1110,1957,0,98008,662500
846,2014-11-25,4,1530,4080,1.5,0,0,4,7,0,1912,0,98105,664000
863,2015-03-03,3,2480,3200,2.0,0,0,3,10,0,2010,0,98144,910000
872,2015-03-05,3,2920,13650,1.0,0,2,5,8,1460,1975,0,98033,795000
873,2015-02-11,4,3300,10514,2.0,0,0,3,10,0,1984,0,98074,785000
874,2014-05-30,3,3060,12095,2.0,0,0,3,10,0,1983,0,98006,860000
882,2014-09-12,3,2040,4000,2.0,0,0,5,7,680,1924,0,98105,720000
883,2014-06-03,4,2200,4000,2.0,0,0,5,8,770,1908,0,98119,930000
884,2014-06-04,5,3200,17204,1.0,0,0,3,7,1040,1952,0,98004,1270000
885,2014-11-11,5,2400,3118,2.0,0,0,4,7,620,1928,0,98122,700000
889,2014-06-10,3,3000,25341,2.0,0,0,3,9,0,1995,0,98053,740000
890,2014-11-10,4,1820,5400,1.5,0,0,3,8,0,1923,2014,98102,1010000
895,2014-05-08,5,3160,11470,1.0,0,0,4,9,1380,1971,0,98040,980000
896,2014-08-05,3,2680,28243,2.0,0,0,3,9,0,1993,0,98077,660000
897,2015-03-11,4,2190,9009,2.0,0,0,4,8,350,1977,0,98033,730000
899,2014-06-20,4,2970,14486,2.0,0,0,3,9,630,1997,0,98040,905000
900,2014-08-11,4,2570,50308,1.5,0,0,3,10,0,1993,0,98077,800000
901,2014-05-09,4,3810,13592,1.0,0,1,3,9,1250,2013,0,98056,839900
922,2014-06-23,3,2380,11824,1.0,0,0,4,9,930,1972,0,98040,800000
924,2014-12-03,4,2780,10480,1.0,0,3,3,7,1390,1967,0,98033,990000
933,2014-07-17,4,2330,5000,1.5,0,0,5,7,610,1925,0,98117,891000
934,2015-03-31,3,3660,22410,1.0,0,3,4,9,1830,1947,0,98117,1200000
942,2014-08-11,5,4390,10140,2.0,0,0,3,9,1040,2005,0,98125,971000
943,2014-08-28,5,2750,5589,1.5,0,0,5,9,910,1910,0,98112,915000
946,2015-04-08,3,2230,12968,2.0,0,0,3,9,0,1990,0,98004,1320000
948,2014-10-15,3,3680,13384,2.0,0,0,3,10,0,1994,0,98006,1030000
952,2014-05-21,3,2020,1159,3.0,0,3,3,8,0,2000,0,98103,720000
953,2015-04-21,4,3130,13202,2.0,0,0,3,10,0,1996,0,98075,851000
955,2015-03-23,4,1980,4560,1.5,0,0,3,7,0,1920,0,98103,700000
959,2014-11-12,4,2208,5000,3.0,0,0,5,8,0,1917,0,98116,650000
968,2014-08-25,4,2360,8616,2.0,0,0,4,8,0,1974,0,98033,752500
973,2014-05-09,4,2790,10819,2.0,0,0,3,10,0,1996,0,98027,765000
980,2015-04-25,5,3070,9804,1.0,0,0,4,9,1330,1968,0,98006,718000
999,2015-04-27,4,1830,4590,2.0,0,0,3,8,0,1908,0,98105,700000
1011,2014-06-12,4,2460,44431,1.0,0,0,4,9,0,1957,0,98007,900000
1019,2014-07-29,4,3130,21810,2.0,0,0,4,10,0,1993,0,98077,840000
1029,2014-10-20,4,1190,8190,1.5,0,0,3,7,0,1945,0,98117,900000
1030,2015-04-17,4,4250,6552,2.0,0,3,4,10,1380,2008,0,98144,2450000
1033,2014-08-20,3,3220,54160,2.0,0,2,4,9,530,1981,0,98006,768000
1034,2014-05-23,4,3680,5854,1.0,0,3,3,10,1620,1967,0,98199,980000
1048,2014-11-06,3,1930,5000,1.0,0,0,3,9,700,1936,0,98105,716500
1050,2014-10-22,4,3450,6500,2.0,0,0,3,8,1000,1994,0,98136,850000
1051,2014-05-22,4,3440,35021,2.0,0,0,3,10,0,1983,0,98033,1050000
1056,2014-07-16,3,1670,5375,1.0,0,0,3,7,400,1952,0,98199,699000
1060,2014-07-16,5,4475,6642,2.0,0,0,3,9,0,2014,0,98053,1040000
1061,2014-08-13,4,2840,11900,1.0,0,3,4,9,1200,1961,0,98136,790000
1071,2015-03-19,4,2680,8500,1.0,0,4,4,9,1200,1962,0,98006,1240000
1072,2015-04-10,3,2380,16080,1.0,0,2,4,9,1040,1964,0,98136,986000
1077,2015-04-22,4,2320,5595,1.0,0,0,3,7,810,1956,0,98199,775000
1080,2014-08-27,2,1150,12775,1.0,1,4,4,6,0,1908,0,98178,825000
1083,2014-05-20,4,2690,28300,1.0,0,0,3,8,0,1954,1999,98166,675000
1089,2014-06-17,5,3010,12611,2.0,0,0,3,10,0,1994,0,98052,837700
1091,2015-05-07,5,2690,21357,1.0,0,0,4,7,1270,1952,0,98004,730000
1103,2015-04-25,4,2910,35679,2.0,0,0,4,9,0,1987,0,98075,817500
1105,2014-07-03,4,3160,8281,2.0,0,0,4,9,0,1995,0,98033,1130000
1112,2014-06-20,4,3030,9273,2.0,0,0,5,8,0,1988,0,98029,660000
1115,2014-06-23,2,970,4560,1.0,0,0,4,7,0,1907,0,98103,690000
1121,2014-07-11,5,4300,12250,2.0,0,0,3,10,0,2004,0,98029,975000
1122,2014-06-25,4,3990,13470,2.0,0,0,3,11,0,2006,0,98059,1200000
1132,2014-07-30,4,4390,17832,1.0,0,0,4,11,1960,1994,0,98059,1280000
1142,2014-06-27,4,3190,10970,2.0,0,0,3,10,0,1994,0,98075,687500
1147,2014-08-08,3,1940,4000,1.5,0,0,5,7,0,1906,0,98109,725000
1150,2015-04-21,4,3120,7898,1.0,1,4,4,8,1560,1963,0,98034,1960000
1152,2015-04-06,4,3230,40319,2.0,0,0,4,10,0,1987,0,98027,699000
1155,2014-12-29,4,2460,10061,1.0,1,4,3,7,1050,1961,0,98178,790000
1159,2014-08-19,4,3460,7749,2.0,0,1,3,10,440,1950,1998,98115,1750000
1168,2015-03-17,4,2660,3672,2.0,0,0,5,8,860,1910,0,98105,900000
1169,2014-05-07,4,4460,103382,2.0,0,0,3,11,0,2001,0,98053,1150000
1172,2014-10-08,3,1400,9900,1.0,0,0,3,7,0,1951,0,98004,850000
1177,2014-07-09,4,2910,18700,1.0,0,0,3,9,700,1957,1995,98177,749950
1178,2014-06-26,4,3060,7140,2.0,0,0,3,9,0,2006,0,98027,826000
1180,2014-08-06,4,3300,101930,2.0,0,0,4,10,0,1991,0,98029,925000
1181,2014-06-05,3,3250,6000,2.0,0,0,3,10,750,2001,0,98136,875000
1182,2014-05-23,4,2530,9200,1.0,0,0,5,9,960,1976,0,98006,902000
1191,2014-11-07,3,1270,3600,1.5,0,0,3,7,0,1906,0,98119,655000
1205,2014-09-04,3,1940,6440,1.0,0,2,5,7,970,1940,0,98116,651000
1206,2014-09-11,4,2490,7834,1.0,0,3,4,8,1250,1958,0,98033,949000
1215,2014-12-22,5,4110,7920,2.0,0,3,3,9,960,1921,0,98122,1880000
1222,2014-06-06,4,2820,6180,2.0,0,0,3,9,770,2013,0,98118,735000
1226,2015-03-30,6,3000,6320,2.0,0,2,3,8,600,1969,0,98118,680000
1236,2014-11-19,4,1980,23625,2.0,0,0,3,8,0,1938,1984,98072,659000
1238,2014-10-30,4,2790,5423,2.0,0,0,3,9,0,1999,0,98074,685100
1242,2014-06-24,4,3030,3841,3.0,0,0,3,9,0,2005,0,98117,880000
1244,2014-10-23,4,3690,13609,2.0,0,2,3,10,0,1996,0,98075,780000
1245,2014-09-10,5,3732,4426,2.5,0,0,3,10,800,2001,0,98112,1230000
1256,2014-08-29,5,2120,4000,1.5,0,0,4,7,400,1910,0,98109,682000
1259,2014-06-25,3,4380,47044,2.0,1,3,3,9,660,1968,1990,98166,995000
1270,2014-06-25,4,4250,8570,2.0,0,0,3,9,0,2004,0,98004,2300000
1274,2014-07-07,4,2350,18600,2.0,0,0,4,9,0,1977,0,98028,747500
1275,2014-07-23,2,2630,7957,2.0,0,0,3,8,0,2003,0,98053,750000
1276,2014-05-05,4,2170,4000,2.0,0,0,4,9,560,1982,2011,98112,831000
1280,2015-02-09,3,3110,14872,1.0,0,0,3,10,0,2003,0,98004,2260000
1292,2014-07-03,4,4930,25714,2.0,0,0,3,12,0,2005,0,98092,835000
1294,2014-05-14,4,2190,7350,2.5,0,0,5,8,0,1958,0,98040,925000
1296,2015-05-01,3,2600,10183,1.0,0,0,3,8,1300,2004,0,98033,748000
1304,2015-03-25,6,3010,17864,2.0,0,0,3,8,0,1969,0,98177,847000
1326,2014-06-30,4,2120,3360,2.0,0,0,3,9,0,1905,0,98112,1200000
1327,2015-04-24,4,2510,133729,2.0,0,0,4,8,0,1977,0,98027,788500
1332,2014-07-17,2,1550,6000,1.0,0,1,3,7,0,1920,0,98199,805000
1336,2014-11-04,4,3370,5000,2.0,0,0,3,9,0,2006,0,98027,825000
1339,2014-06-03,5,3040,10257,2.0,0,0,3,10,0,1993,0,98006,960000
1340,2014-09-17,4,2440,3600,1.5,0,0,5,8,960,1929,0,98103,780000
1342,2015-04-29,5,3230,5167,1.5,0,0,4,8,1230,1909,0,98133,729953
1345,2015-01-16,4,3100,5600,2.0,0,0,3,9,0,2005,0,98075,735000
1348,2014-05-11,4,2160,5298,2.5,0,0,4,9,0,1902,0,98122,842500
1353,2014-07-02,3,3280,10302,1.0,0,0,3,10,1600,1970,0,98115,1080000
1355,2014-09-29,4,2820,8307,2.0,0,0,3,9,0,1990,0,98074,690000
1358,2015-01-08,3,2310,6000,2.0,0,1,4,9,750,1926,0,98199,815000
1359,2015-05-11,5,4640,22703,2.0,1,4,5,8,1780,1952,0,98052,2200000
1360,2015-04-13,3,2330,11424,2.0,0,0,4,8,0,1984,0,98052,700000
1361,2014-07-14,3,3940,10360,2.0,0,0,3,9,830,1992,0,98052,933399
1366,2014-07-24,4,2440,10049,2.0,0,0,4,9,0,1989,0,98029,672000
1369,2014-07-31,3,1800,5700,1.0,0,0,4,8,800,1941,0,98119,749950
1371,2014-10-28,5,2920,2808,2.0,0,0,3,8,780,1960,1992,98103,830000
1372,2014-07-08,3,2790,13791,1.0,0,3,3,8,0,2006,0,98166,1130000
1384,2014-08-05,3,2120,9307,2.0,0,0,4,9,0,1984,0,98006,719000
1388,2014-05-13,4,2740,7140,2.0,0,0,3,8,0,1993,0,98074,651000
1401,2014-06-04,3,2560,41346,2.0,0,0,3,10,0,1986,0,98027,658588
1408,2015-03-19,3,2210,8955,1.0,0,1,3,8,650,1974,0,98033,685000
1409,2015-04-21,3,2360,12987,2.0,0,0,3,8,0,1983,0,98006,750000
1412,2014-09-17,4,2740,7571,2.0,0,0,3,9,0,2009,0,98033,706000
1415,2015-05-03,2,1770,7155,2.0,1,4,3,8,0,1957,2004,98155,1180000
1418,2015-04-15,4,3190,17186,2.0,1,4,3,10,0,1999,0,98178,1700000
1420,2014-11-05,4,2390,6820,2.0,0,0,4,7,250,1945,0,98115,799000
1421,2014-08-04,4,4040,9630,1.0,0,3,4,9,2020,1951,0,98199,1400000
1423,2014-05-05,4,2730,10281,2.0,0,2,3,9,0,1996,0,98074,780000
