,sqft_living,sqft_lot,sqft_basement,bedrooms,floors,zipcode_category,lat,long,waterfront,view,grade,age_renovated,price
161,1780,9660,0,3,1.0,2,47.7171,-122.193,0,0,7,61.0,438000
162,3400,16603,0,3,2.0,3,47.6012,-122.023,0,0,10,23.0,900000
163,1910,7280,750,3,1.0,2,47.7319,-122.224,0,0,7,44.0,441000
164,2020,38332,1010,3,1.0,3,47.4582,-122.023,0,0,7,48.0,420000
165,1580,7000,400,3,1.0,2,47.7209,-122.168,0,0,7,47.0,370000
166,1340,7250,640,2,1.0,1,47.408,-122.327,0,0,5,74.0,269950
167,2680,4499,0,4,2.0,4,47.565,-122.125,0,0,9,24.0,807100
168,2680,9750,1070,3,1.0,2,47.7028,-122.231,0,0,8,44.0,653000
169,1370,8336,0,3,1.0,1,47.7458,-122.331,0,0,7,59.0,371500
170,1560,21000,0,3,1.0,2,47.4776,-122.337,0,0,7,69.0,284000
171,2160,7140,490,3,1.0,1,47.3026,-122.374,0,0,7,45.0,272000
172,1340,7912,0,3,1.5,1,47.7658,-122.339,0,0,7,68.0,313000
173,3880,35003,1310,4,2.0,4,47.6477,-122.182,0,0,10,39.0,917500
174,2590,8190,0,4,2.0,4,47.5619,-122.125,0,0,8,43.0,673000
175,1120,1100,300,3,2.0,3,47.6106,-122.31,0,0,8,15.0,425000
176,1970,5400,650,5,1.0,2,47.5868,-122.308,0,0,7,37.0,399950
177,1220,4800,0,3,1.0,3,47.6101,-122.307,0,0,6,122.0,385000
178,1950,7560,630,3,1.0,1,47.1976,-121.999,0,2,7,48.0,269950
179,1350,8220,290,2,1.0,3,47.7224,-122.358,0,0,7,74.0,330000
180,1670,5797,0,3,2.0,1,47.3505,-122.179,0,0,7,35.0,260000
181,2380,5125,700,4,1.5,2,47.5384,-122.376,0,0,7,98.0,470000
182,2440,9600,0,4,2.0,2,47.7044,-122.2,0,0,7,62.0,589000
183,1050,3419,0,2,2.0,1,47.3848,-122.039,0,0,7,27.0,163500
184,3130,13412,990,4,2.0,3,47.6993,-122.102,0,0,9,30.0,835000
185,4090,12850,2000,5,1.0,4,47.6627,-122.188,0,2,10,37.0,1100000
186,1490,10000,390,4,1.0,1,47.3099,-122.379,0,0,8,54.0,269000
187,1900,8744,0,3,2.0,3,47.62,-122.043,0,0,8,36.0,560000
188,1330,2400,0,4,1.5,2,47.65,-122.34,0,0,6,122.0,615000
189,2230,10026,800,3,1.0,3,47.6647,-122.153,0,0,8,48.0,585188
190,1650,9480,430,3,1.0,2,47.726,-122.191,0,0,7,46.0,305000
191,1190,8820,0,3,1.0,1,47.4616,-122.184,0,0,6,64.0,166950
192,2140,9897,0,3,1.0,5,47.5505,-122.219,0,0,8,64.0,799000
193,2180,7508,760,3,1.0,1,47.7606,-122.336,0,0,7,61.0,400000
194,1060,10228,0,3,1.0,2,47.7481,-122.3,0,0,7,75.0,230000
195,1690,5025,0,3,2.0,1,47.2779,-122.347,0,0,8,20.0,256883
196,1970,6480,840,4,1.5,1,47.5511,-122.312,0,0,7,103.0,423000
197,2150,4084,0,3,2.0,2,47.5488,-122.372,0,0,8,16.0,465000
198,1910,66211,0,3,2.0,2,47.5385,-121.911,0,0,7,26.0,440000
199,1350,155073,0,3,1.0,1,47.4058,-121.994,0,0,7,54.0,385000
200,860,11725,0,3,1.0,2,47.5093,-122.184,0,0,6,80.0,210000
201,1940,14952,0,3,2.0,1,47.3777,-122.165,0,0,8,29.0,297000
202,1010,5000,0,3,1.0,2,47.675,-122.394,0,0,7,71.0,470000
203,1300,7370,400,3,1.0,1,47.3025,-122.37,0,0,7,47.0,226500
204,910,8450,0,3,1.0,2,47.4787,-122.158,0,0,6,61.0,274250
205,2480,11010,850,4,1.0,5,47.5378,-122.219,0,0,9,57.0,840000
206,2440,4587,0,3,2.0,3,47.7073,-122.114,0,0,8,13.0,677900
207,1010,5864,0,3,1.0,3,47.5733,-122.381,0,0,7,108.0,425000
208,900,9600,0,2,1.0,2,47.4604,-122.339,0,0,6,82.0,180250
209,2300,3404,700,6,2.0,1,47.7067,-122.343,0,0,7,29.0,464000
210,1550,7579,0,4,2.0,1,47.354,-122.047,0,0,8,30.0,320000
211,1270,1566,210,3,2.0,4,47.6647,-122.284,0,0,8,9.0,625504
212,2240,12032,0,4,1.0,3,47.6143,-122.017,0,0,9,40.0,592500
213,2714,17936,0,3,2.0,1,47.3185,-122.275,0,0,9,18.0,465000
214,1720,6270,0,4,2.0,2,47.5458,-122.268,0,0,8,45.0,477000
215,850,16400,0,2,1.0,1,47.4889,-122.299,0,0,6,100.0,280000
216,3300,33474,1430,5,1.0,5,47.5673,-122.21,0,3,9,32.0,1510000
217,2250,5692,0,3,2.0,1,47.5133,-122.379,0,0,8,23.0,445838
218,3900,14864,1950,2,1.0,2,47.5884,-122.291,0,3,8,76.0,1070000
219,1320,10800,0,2,1.0,3,47.7145,-122.367,0,0,8,76.0,467000
220,2760,6440,0,4,2.0,3,47.5836,-122.026,0,0,10,24.0,686000
221,1750,9750,400,3,1.0,1,47.398,-122.299,0,0,7,62.0,279950
222,2330,19436,0,4,2.0,2,47.7663,-122.215,0,0,8,36.0,527000
223,2220,16020,440,3,1.0,1,47.3758,-122.217,0,0,8,57.0,325000
224,2020,8379,0,3,2.0,1,47.3828,-122.023,0,0,7,29.0,328000
225,1250,7500,0,3,1.0,1,47.5123,-122.373,0,0,7,81.0,390000
226,1510,6516,0,2,1.0,3,47.7076,-122.013,0,0,8,18.0,479950
227,1720,9753,600,4,1.0,1,47.2922,-122.371,0,0,7,45.0,264950
228,1430,15246,450,3,1.0,1,47.4075,-122.214,0,0,7,62.0,235000
229,1480,4729,0,3,2.0,3,47.6794,-122.034,0,0,7,19.0,516500
230,1450,15798,220,2,2.0,2,47.4497,-122.375,1,4,7,45.0,655000
231,2280,15347,0,4,1.0,2,47.5218,-122.164,0,0,7,63.0,500000
232,2940,7350,1160,6,1.0,1,47.3103,-122.339,0,0,8,45.0,315000
233,1000,10200,0,2,1.0,2,47.5687,-121.899,0,0,6,62.0,213000
234,2480,5280,860,3,1.5,1,47.5575,-122.303,0,0,7,76.0,475000
235,3760,28040,0,5,2.0,4,47.6489,-122.183,0,0,10,40.0,1030000
236,2220,94300,580,3,1.0,2,47.3459,-121.95,0,0,7,47.0,416000
237,1970,4740,300,4,1.5,3,47.6136,-122.303,0,0,7,18.0,410000
238,3830,221284,300,3,2.0,3,47.7641,-122.023,0,0,10,30.0,800000
239,4410,14034,2060,6,1.0,1,47.3376,-122.324,0,2,9,58.0,472000
240,1430,8505,0,3,1.0,1,47.3173,-122.319,0,0,7,55.0,225000
241,830,6000,0,2,1.0,2,47.5308,-122.376,0,0,6,83.0,210000
242,1430,5000,0,2,1.5,3,47.6727,-122.299,0,0,7,98.0,455000
243,1300,8316,0,3,1.0,1,47.3221,-122.216,0,0,6,69.0,225000
244,1030,3060,240,2,1.0,2,47.6779,-122.353,0,2,7,105.0,480000
245,2740,11872,0,3,2.0,1,47.3076,-122.395,0,0,9,33.0,363000
246,3650,8354,1820,4,1.0,3,47.6338,-122.072,1,4,9,23.0,2400000
247,720,5120,0,2,1.0,1,47.5218,-122.357,0,0,6,69.0,181000
248,2010,7312,0,4,1.0,1,47.2785,-122.213,0,0,7,47.0,250000
249,1560,3000,790,3,1.0,2,47.6846,-122.345,0,0,6,105.0,481000
250,1810,7209,570,3,1.0,1,47.3656,-122.278,0,0,7,45.0,260000
251,3360,7685,0,4,2.0,1,47.4369,-122.111,0,0,9,22.0,455000
252,1510,36224,0,3,2.0,2,47.4616,-121.711,0,0,8,32.0,415000
253,1400,3538,600,3,1.0,2,47.5405,-122.27,0,0,7,70.0,349500
254,1730,7442,0,3,2.0,1,47.3507,-122.178,0,0,7,36.0,245000
255,1420,9191,0,2,1.5,3,47.6979,-122.32,0,2,7,95.0,592500
256,2360,7620,1180,4,1.0,1,47.5278,-122.345,0,0,7,68.0,385000
257,1580,11455,380,3,1.0,2,47.4756,-122.147,0,0,7,49.0,315000
258,1230,10170,0,3,1.0,2,47.4437,-121.772,0,0,7,44.0,255000
259,2460,4425,0,4,2.0,3,47.7048,-122.109,0,0,8,17.0,693000
260,1660,4400,200,3,1.5,5,47.6362,-122.302,0,0,8,112.0,780000
261,1270,8470,0,3,1.0,1,47.4207,-122.29,0,0,7,63.0,237000
262,2100,40510,780,3,2.0,3,47.6154,-122.047,0,0,10,44.0,525000
263,770,5040,0,2,1.0,2,47.5964,-122.299,0,0,5,93.0,425000
264,760,10079,0,1,1.0,2,47.4683,-122.438,1,4,5,87.0,369900
265,1700,7280,0,4,2.0,1,47.4045,-122.171,0,0,7,35.0,290000
266,1120,10701,0,3,1.0,1,47.5544,-122.358,0,0,7,69.0,285000
267,1070,4500,0,2,1.0,3,47.6802,-122.29,0,0,7,86.0,415000
268,2070,9900,650,3,1.0,1,47.2988,-122.371,0,0,8,44.0,272500
269,5050,20100,300,4,1.5,5,47.6312,-122.223,0,2,11,15.0,2900000
270,5310,57346,0,4,2.0,3,47.7285,-122.042,0,0,11,34.0,1370000
271,1040,7538,0,2,1.0,1,47.7107,-122.352,0,0,7,84.0,436000
272,1700,11390,0,3,1.0,1,47.3271,-122.323,0,0,7,56.0,210000
273,1300,5898,0,3,1.0,1,47.5053,-122.255,0,0,7,62.0,236000
274,1080,1306,500,3,1.0,3,47.6601,-122.4,0,0,7,20.0,331000
275,2653,4510,0,3,2.0,1,47.4145,-122.166,0,0,8,17.0,365000
276,2290,16258,0,3,1.0,1,47.4672,-122.165,0,0,8,63.0,450000
277,3820,26300,970,4,2.0,2,47.7618,-122.261,0,0,9,9.0,770000
278,2210,49375,0,4,1.0,1,47.3828,-122.071,0,0,8,26.0,455000
279,2390,6000,1150,3,1.0,2,47.5362,-122.268,0,0,6,115.0,405000
280,2600,11325,990,4,1.0,1,47.3954,-122.206,0,0,7,54.0,304900
281,860,5265,0,2,1.0,1,47.5048,-122.272,0,0,6,92.0,170000
282,3830,8480,1200,5,2.0,3,47.6166,-122.287,0,1,9,29.0,2050000
283,3500,7048,0,4,2.0,3,47.6811,-122.025,0,0,9,18.0,780000
284,2420,13959,680,3,1.0,2,47.7486,-122.23,0,0,8,35.0,330000
285,2720,8666,0,4,2.0,1,47.3846,-122.169,0,0,9,31.0,370000
286,2500,13500,650,5,1.0,2,47.7564,-122.144,0,0,7,44.0,467000
287,1670,6720,530,3,1.0,2,47.7198,-122.193,0,0,7,43.0,405000
288,2900,10300,1450,5,1.0,4,47.5461,-122.151,0,0,8,38.0,675000
289,1640,14100,500,2,1.0,4,47.5712,-122.143,0,0,7,69.0,500000
290,1890,15770,0,4,2.0,2,47.4281,-122.343,0,0,7,55.0,389999
291,2950,9025,1170,4,1.0,2,47.7128,-122.223,0,2,8,48.0,630000
292,2160,9528,0,4,2.0,1,47.3341,-122.255,0,0,9,31.0,360000
293,3280,11060,1010,4,2.0,2,47.5399,-122.181,0,0,8,37.0,580000
294,1970,4166,700,3,2.0,2,47.5717,-122.375,0,3,8,94.0,550000
295,3360,22111,0,4,2.0,3,47.5951,-122.017,0,0,10,29.0,879000
296,1320,8959,0,3,1.0,1,47.3536,-122.144,0,0,7,30.0,265000
297,2650,7286,0,3,2.0,2,47.5084,-122.154,0,0,8,33.0,446500
298,2030,8880,700,3,1.0,1,47.5586,-122.311,0,0,7,60.0,404000
299,1590,11914,500,3,1.0,1,47.4427,-122.274,0,2,7,66.0,267500
300,4550,18641,1950,4,1.0,3,47.6053,-122.077,1,4,10,21.0,3080000
301,2440,7632,0,3,2.0,1,47.3494,-122.301,0,0,8,25.0,335000
302,1940,9000,970,3,1.0,2,47.6933,-122.393,0,0,7,75.0,576000
303,2040,3810,0,3,2.0,1,47.3537,-122.0,0,0,8,17.0,208633
304,2200,8750,1080,3,1.0,2,47.476,-122.337,0,0,7,59.0,315000
305,1920,3300,960,3,1.0,5,47.6239,-122.298,0,0,8,110.0,725000
306,1800,7750,400,4,1.0,3,47.7776,-122.384,0,0,8,58.0,550000
307,2180,7297,0,4,2.0,3,47.6459,-122.058,0,0,8,39.0,610750
308,1010,5000,0,2,1.5,4,47.6692,-122.297,0,0,6,115.0,550700
309,3320,10574,1100,4,2.0,2,47.5376,-122.18,0,0,8,63.0,665000
310,2370,4000,390,4,1.5,2,47.601,-122.294,0,2,8,95.0,834000
311,1660,78408,0,5,1.5,2,47.529,-121.837,0,0,6,108.0,201000
312,3650,9050,280,5,2.0,4,47.6345,-122.367,0,4,10,102.0,2380000
313,4290,12103,1600,4,1.0,4,47.5503,-122.102,0,3,11,26.0,1380000
314,4290,12103,1600,4,1.0,4,47.5503,-122.102,0,3,11,26.0,1400000
315,1950,7700,600,4,1.0,1,47.4441,-122.125,0,0,8,44.0,305000
316,2590,14052,870,3,1.0,1,47.7357,-122.333,0,0,8,75.0,487000
317,1930,64904,0,3,1.0,1,47.346,-122.157,0,0,8,35.0,390000
318,1470,3864,300,2,1.0,2,47.6638,-122.345,0,0,7,107.0,548000
319,800,8775,0,4,1.0,2,47.48,-122.336,0,0,6,80.0,268750
320,3150,7119,0,5,2.0,3,47.6759,-122.151,0,0,9,10.0,819900
321,2030,16200,0,3,2.0,3,47.5162,-122.057,0,0,8,39.0,520000
322,1450,11204,0,3,1.0,1,47.2639,-122.252,0,0,7,20.0,230000
323,1510,10248,0,3,1.0,1,47.2929,-122.371,0,0,7,54.0,240000
324,1240,12092,280,2,1.0,1,47.4957,-122.352,0,0,6,39.0,232000
325,1240,12092,280,2,1.0,1,47.4957,-122.352,0,0,6,39.0,240500
326,3030,45004,0,3,2.0,3,47.7721,-122.093,0,0,9,36.0,274975
327,2050,4400,0,4,1.5,4,47.644,-122.319,0,0,9,101.0,740000
328,1000,7636,0,3,1.0,2,47.472,-122.344,0,0,7,71.0,186375
329,2370,10289,780,3,1.0,4,47.592,-122.166,0,0,9,46.0,790000
330,2800,6750,910,4,2.0,4,47.669,-122.275,0,0,9,21.0,880000
331,2240,11180,0,6,2.0,1,47.42,-122.323,0,0,7,68.0,279000
332,1810,10530,0,3,1.0,1,47.1913,-122.012,0,2,8,32.0,295000
333,1070,5000,0,2,1.0,2,47.6666,-122.331,0,0,7,99.0,640000
334,2490,9525,0,4,2.0,5,47.5639,-122.217,0,0,9,55.0,940000
335,1960,5238,0,4,2.0,1,47.3483,-122.052,0,0,7,20.0,260000
336,2930,5569,1070,3,1.0,2,47.7648,-122.164,0,0,9,19.0,559900
337,1510,3500,0,4,1.5,2,47.6794,-122.357,0,0,7,112.0,791500
